customer_id,first_name,last_name,email,registration_date
57,FirstName57,LastName57,customer57@example.com,2023-04-02
58,FirstName58,LastName58,customer58@example.com,2023-09-21
59,FirstName59,LastName59,customer59@example.com,2023-02-04
60,FirstName60,LastName60,customer60@example.com,2023-07-25
61,FirstName61,LastName61,customer61@example.com,2023-03-22
62,FirstName62,LastName62,customer62@example.com,2023-02-19
63,FirstName63,LastName63,customer63@example.com,2023-12-26
64,FirstName64,LastName64,customer64@example.com,2023-01-02
65,FirstName65,LastName65,customer65@example.com,2023-02-23
66,FirstName66,LastName66,customer66@example.com,2023-04-16
67,FirstName67,LastName67,customer67@example.com,2023-09-17
68,FirstName68,LastName68,customer68@example.com,2023-11-06
69,FirstName69,LastName69,customer69@example.com,2023-07-10
70,FirstName70,LastName70,customer70@example.com,2023-08-06
71,FirstName71,LastName71,customer71@example.com,2023-02-13
72,FirstName72,LastName72,customer72@example.com,2023-06-11
73,FirstName73,LastName73,customer73@example.com,2023-07-21
74,FirstName74,LastName74,customer74@example.com,2023-09-27
75,FirstName75,LastName75,customer75@example.com,2023-12-17
76,FirstName76,LastName76,customer76@example.com,2023-10-31
77,FirstName77,LastName77,customer77@example.com,2023-09-28
78,FirstName78,LastName78,customer78@example.com,2023-08-03
79,FirstName79,LastName79,customer79@example.com,2023-09-09
80,FirstName80,LastName80,customer80@example.com,2023-07-09
81,FirstName81,LastName81,customer81@example.com,2023-10-23
82,FirstName82,LastName82,customer82@example.com,2023-08-01
83,FirstName83,LastName83,customer83@example.com,2023-07-27
84,FirstName84,LastName84,customer84@example.com,2023-08-25
85,FirstName85,LastName85,customer85@example.com,2023-12-04
86,FirstName86,LastName86,customer86@example.com,2023-02-22
87,FirstName87,LastName87,customer87@example.com,2023-10-07
88,FirstName88,LastName88,customer88@example.com,2023-08-05
89,FirstName89,LastName89,customer89@example.com,2023-09-09
90,FirstName90,LastName90,customer90@example.com,2023-07-07
91,FirstName91,LastName91,customer91@example.com,2023-02-10
92,FirstName92,LastName92,customer92@example.com,2023-06-06
93,FirstName93,LastName93,customer93@example.com,2023-01-15
94,FirstName94,LastName94,customer94@example.com,2023-10-28
95,FirstName95,LastName95,customer95@example.com,2023-03-06
96,FirstName96,LastName96,customer96@example.com,2023-12-11
97,FirstName97,LastName97,customer97@example.com,2023-11-23
98,FirstName98,LastName98,customer98@example.com,2023-01-09
99,FirstName99,LastName99,customer99@example.com,2023-12-10
100,FirstName100,LastName100,customer100@example.com,2023-05-09
